"GENOTYPES","NAME","DFSI","DFFL","DFBO","SPAD1","SPAD2","RWC","MSI","LAI","SLW","BW","NBP","PH","SCYP","GOT","FL","UI","MIC","TENACITY"
13,"Gen_13",69,113,140,25.7,26.6,61.885128,71.0437,3.54,6.80348,1.809032,35,146,65.22,94.33,21.6,64,3.87,20.64
14,"Gen_14",62,150,122,28.1,21.2,84.580673,60.670731,2.73,14.55467,1.322185,56,126,93.84,84.24,20.61,61,5.93,18.22
15,"Gen_15",65,121,124,33.0,21.4,77.018009,64.066508,3.28,13.190428,1.36343,31,150,50.62,71.15,17.9,61,5.64,16.56
16,"Gen_16",65,140,114,21.1,26.6,49.460706,94.329059,4.46,10.17983,1.113579,36,125,97.16,91.63,18.88,74,3.72,17.88
17,"Gen_17",60,109,163,44.3,23.5,69.145975,62.904624,3.76,14.831318,1.080376,30,147,98.89,60.85,17.55,77,5.42,16.81
18,"Gen_18",65,124,107,50.0,25.7,97.733756,71.70045,2.58,9.7085,1.146995,33,132,91.52,95.88,21.35,80,3.08,18.85
19,"Gen_19",69,124,163,25.4,28.5,90.93914,68.066505,1.94,13.323802,1.513984,42,128,84.13,74.33,21.89,72,5.64,21.11
20,"Gen_20",60,123,144,22.4,28.0,46.401866,90.580467,3.53,12.239116,1.498652,50,131,99.17,88.04,15.91,61,3.19,19.24
21,"Gen_21",64,104,132,30.8,28.2,82.751567,63.979294,3.8,10.845314,1.853471,52,141,67.96,58.19,16.38,80,4.21,21.58
22,"Gen_22",69,128,102,47.6,22.9,42.960518,93.288552,4.09,6.711386,1.635402,49,127,81.65,75.17,16.19,80,4.78,18.14
23,"Gen_23",60,138,152,36.8,27.3,77.339977,45.190539,3.96,7.596043,1.033265,57,143,98.8,96.36,18.32,75,4.56,16.53
24,"Gen_24",65,142,122,31.5,20.8,58.174547,65.488986,4.45,14.347666,1.685775,34,140,52.38,70.76,15.17,64,4.18,21.29
25,"Gen_25",65,110,143,22.9,20.7,78.056463,82.937164,1.69,11.71148,1.535148,38,141,57.16,92.4,16.1,63,4.78,16.95
26,"Gen_26",60,149,153,30.7,28.4,87.939641,69.165883,4.11,7.192432,1.822442,42,131,59.25,93.81,17.52,78,5.51,15.01
27,"Gen_27",68,142,169,50.0,22.2,98.590668,98.158078,4.6,12.717807,1.964175,33,136,62.32,69.05,17.3,73,3.38,18.17
28,"Gen_28",61,121,165,30.3,23.4,54.145759,54.943681,1.11,14.58255,1.79818,37,137,60.97,52.68,18.37,69,4.8,21.6
29,"Gen_29",60,119,121,38.5,25.6,62.831297,86.841393,4.78,12.877538,1.418678,59,135,88.05,54.27,20.14,69,4.82,16.31
30,"Gen_30",64,129,169,28.9,20.3,72.968125,97.222762,3.12,5.37835,1.569597,44,121,77.52,50.17,15.77,69,5.9,21.83
31,"Gen_31",68,104,178,34.6,20.2,89.679472,54.165472,3.54,13.273208,1.887861,30,141,62.71,78.23,16.16,65,3.45,19.94
32,"Gen_32",64,148,101,34.5,21.2,45.482284,95.314274,1.51,13.11863,1.061383,33,136,57.98,68.93,19.29,61,4.93,19.1
33,"Gen_33",66,104,113,24.0,29.3,85.16739,51.922896,3.46,9.705294,1.135307,60,148,75.16,92.88,21.14,76,5.69,19.59
34,"Gen_34",67,123,173,25.9,23.2,58.154763,88.443807,1.64,5.397009,1.830629,33,120,68.83,59.06,21.57,70,3.66,21.13
35,"Gen_35",65,145,126,25.0,23.6,85.847707,59.789318,1.31,6.224657,1.040014,51,138,82.2,97.54,19.24,60,3.79,15.68
36,"Gen_36",67,114,109,37.9,27.7,54.400801,92.28927,2.29,14.9998,1.628555,59,144,60.36,82.56,21.77,80,4.92,16.13
37,"Gen_37",70,130,147,21.9,24.1,43.459265,41.446608,1.48,14.748183,1.007343,44,144,68.3,60.19,21.14,75,3.76,15.21
38,"Gen_38",63,116,122,39.0,23.2,69.404855,71.275084,2.92,6.793404,1.68606,60,123,70.84,50.24,19.02,68,5.37,15.86
39,"Gen_39",68,127,156,45.4,26.9,88.898733,96.731298,2.85,6.384381,1.932773,33,148,92.25,95.49,16.14,76,4.95,18.03
40,"Gen_40",65,123,107,21.0,29.3,72.237498,80.290089,2.61,5.596294,1.467144,50,149,61.86,78.17,15.23,66,5.73,16.46
41,"Gen_41",62,130,172,22.6,26.4,41.006077,44.112372,2.47,8.69238,1.475046,51,147,50.76,68.84,17.46,76,5.78,15.67
42,"Gen_42",60,140,100,25.5,21.9,56.531058,76.41491,2.95,10.06455,1.93314,37,120,89.22,68.3,19.04,68,3.89,16.11
43,"Gen_43",63,108,151,27.4,27.1,44.212825,74.455874,2.24,6.90581,1.329717,41,150,75.03,74.11,17.36,72,4.6,16.26
44,"Gen_44",63,103,115,32.3,23.3,84.505554,85.208356,1.08,11.113838,1.167314,53,141,97.51,84.97,16.75,74,4.67,18.97
45,"Gen_45",60,122,149,38.8,27.5,51.5178,64.540047,1.86,11.21633,1.429952,55,127,86.64,62.42,21.02,80,4.0,15.35
46,"Gen_46",62,108,148,26.2,22.8,79.205281,43.365247,1.1,11.871051,1.193937,30,126,96.58,52.86,16.1,63,5.08,16.89
47,"Gen_47",63,104,180,25.9,21.8,72.517672,93.769778,3.98,12.975321,1.508733,55,145,77.26,63.27,21.7,76,3.89,18.57
48,"Gen_48",61,109,117,46.9,22.1,66.153171,47.695655,1.25,11.258466,1.967637,39,121,82.3,52.1,17.02,62,3.52,17.09
49,"Gen_49",68,126,170,49.2,21.6,80.536277,46.166009,1.86,11.320111,1.15349,34,139,93.85,98.92,21.61,74,4.89,15.01
50,"Gen_50",65,122,157,20.9,29.9,48.549549,49.530019,3.52,7.122863,1.285908,40,145,90.44,62.0,17.08,79,5.49,21.06
51,"Gen_51",61,124,104,32.1,27.6,49.871559,49.1123,1.31,11.615791,1.997567,34,130,64.36,96.31,18.53,80,3.28,19.03
52,"Gen_52",63,105,120,48.2,28.4,63.69459,64.43186,4.26,13.662435,1.853189,51,127,68.49,86.27,18.38,73,3.89,19.57
53,"Gen_53",70,136,121,45.1,28.6,47.823097,96.126044,4.34,7.582449,1.284147,54,138,76.74,87.02,17.11,74,5.21,17.59
54,"Gen_54",63,104,142,46.8,29.9,41.733746,74.833213,1.91,13.847666,1.420362,45,133,93.44,92.31,19.46,72,3.39,20.67
55,"Gen_55",68,148,138,38.2,26.5,77.053528,43.149112,3.68,5.535441,1.700588,38,137,72.77,70.19,15.34,67,5.88,21.46
56,"Gen_56",68,134,171,32.8,24.1,59.736584,91.029689,1.28,9.998602,1.380835,54,124,50.66,73.9,19.54,79,4.34,21.52
57,"Gen_57",70,108,114,35.6,21.4,62.891558,59.424203,3.57,10.536433,1.77965,34,150,65.97,94.64,20.96,73,3.19,15.21
58,"Gen_58",64,148,136,44.7,26.1,71.256483,83.424975,3.14,9.227954,1.976538,57,149,57.41,78.47,15.17,63,4.43,19.9
59,"Gen_59",61,101,164,49.8,24.6,93.048484,53.549445,4.56,13.379328,1.934254,52,141,74.78,73.09,16.0,69,3.3,18.14
60,"Gen_60",62,108,130,46.9,24.6,62.076992,53.977964,3.2,9.418893,1.040841,37,145,72.82,93.4,21.48,71,5.29,17.16
61,"Gen_61",70,128,151,33.3,25.9,76.078304,40.710523,4.01,8.016325,1.532556,49,136,61.92,70.56,20.93,79,5.57,15.58
62,"Gen_62",61,122,166,26.0,25.1,79.993234,72.086607,1.91,11.323793,1.801006,37,131,52.05,93.7,16.96,65,3.34,15.22
63,"Gen_63",61,141,153,27.3,21.4,60.809287,40.57848,4.57,10.735072,1.748759,37,126,50.26,55.17,16.11,68,3.72,17.02
64,"Gen_64",66,150,103,39.6,29.4,57.170803,47.500236,1.75,11.319505,1.232475,56,132,99.0,57.89,21.99,64,5.4,20.77
65,"Gen_65",70,142,148,22.9,20.6,49.798522,82.696828,4.59,10.207974,1.255487,43,126,91.7,52.22,16.45,64,4.19,18.71
66,"Gen_66",61,141,159,20.1,27.5,40.737379,62.451416,1.01,11.300833,1.891317,32,126,80.07,61.1,16.87,72,4.7,19.61
67,"Gen_67",63,111,125,46.4,20.6,55.712791,47.057844,4.66,12.463474,1.753316,31,130,65.26,53.07,16.01,78,5.46,18.71
68,"Gen_68",61,142,161,49.4,28.2,66.228839,70.453794,1.45,13.416692,1.84794,42,130,65.41,71.02,18.26,64,3.17,21.88
69,"Gen_69",66,105,117,31.4,29.2,90.271341,47.545242,3.31,10.68636,1.679232,54,140,91.88,67.04,18.69,72,5.74,21.3
70,"Gen_70",60,114,166,44.8,21.4,98.79225,51.265914,4.68,9.653858,1.307672,48,144,64.02,59.8,17.81,76,3.6,18.47
71,"Gen_71",61,122,153,20.4,24.3,46.211355,84.274568,4.44,13.323527,1.380355,36,140,67.58,66.35,19.56,72,3.02,19.17
72,"Gen_72",66,120,168,22.6,21.9,75.786957,69.892968,2.86,14.011145,1.687151,57,133,84.35,94.45,19.81,70,3.66,17.46
73,"Gen_73",66,127,117,21.7,27.2,98.206087,62.265793,4.38,6.480671,1.807555,51,145,58.24,77.45,15.37,76,4.87,18.08
74,"Gen_74",66,100,137,48.7,21.9,96.806879,54.51728,4.81,11.517272,1.377127,60,147,99.97,94.78,15.06,61,5.44,19.46
75,"Gen_75",69,144,119,48.4,22.3,50.479588,87.715073,3.9,6.598855,1.559313,59,141,75.34,63.28,20.37,61,4.97,18.95
76,"Gen_76",64,101,117,25.6,28.9,63.738789,75.916979,1.67,12.104769,1.242728,56,140,73.96,69.39,17.44,73,5.18,15.98
77,"Gen_77",62,115,160,31.8,27.1,74.205008,54.971649,1.2,11.332745,1.246589,58,136,89.74,94.95,15.03,74,5.32,18.51
78,"Gen_78",66,133,140,20.5,22.3,86.530608,56.609323,2.58,7.240672,1.795606,47,150,61.49,70.3,17.07,71,5.07,18.51
79,"Gen_79",70,147,122,34.4,21.5,58.115713,86.336544,4.47,8.132901,1.313484,35,135,70.35,54.12,20.39,75,5.84,15.96
80,"Gen_80",60,119,118,38.5,27.1,81.338029,55.460356,1.31,9.308923,1.139913,51,122,54.38,83.33,15.55,62,4.79,21.59
81,"Gen_81",70,111,134,42.9,29.6,77.720966,48.240758,4.52,8.836494,1.549934,35,138,74.36,96.09,19.8,78,3.01,18.68
82,"Gen_82",65,148,135,27.9,21.7,49.257167,53.076571,1.18,11.31942,1.351189,54,144,69.07,63.06,19.99,75,3.5,16.88
83,"Gen_83",60,133,143,26.2,27.2,94.455712,74.696911,3.81,8.688777,1.750644,33,143,78.22,95.56,19.22,67,4.85,17.82
84,"Gen_84",67,109,135,47.4,20.0,85.20692,58.962411,1.81,6.023635,1.673993,46,127,92.53,57.91,17.48,77,3.85,20.53
85,"Gen_85",68,148,127,35.4,26.5,84.619042,75.292476,2.12,10.264223,1.606379,31,130,64.38,82.03,21.94,70,5.68,17.44
86,"Gen_86",70,138,176,20.9,25.4,85.983235,59.055473,3.4,13.113375,1.819952,44,143,69.97,59.91,18.76,74,4.26,16.69
87,"Gen_87",69,131,154,21.1,22.1,93.999209,48.976042,2.28,9.076773,1.114756,41,147,86.4,88.79,18.96,69,4.73,20.93
88,"Gen_88",62,144,124,42.5,20.7,83.775322,71.595847,1.82,9.376735,1.308806,39,128,83.29,54.11,20.49,77,3.3,21.31
89,"Gen_89",70,146,101,45.7,28.4,86.398172,46.099753,2.64,8.512556,1.881079,49,128,69.53,88.58,18.32,69,3.06,19.4
90,"Gen_90",68,102,164,32.1,24.8,96.137242,78.306012,2.28,14.927431,1.993635,54,146,73.16,64.59,20.76,72,5.56,15.2
91,"Gen_91",64,117,127,32.4,25.3,88.517915,43.076386,3.71,6.131907,1.016067,47,121,53.27,71.52,17.2,65,4.71,21.81
92,"Gen_92",67,115,101,31.7,23.0,66.102326,99.504278,2.07,6.423669,1.680542,39,149,61.22,82.25,15.45,71,5.69,16.19
93,"Gen_93",70,119,177,38.6,29.6,80.494086,76.216975,2.02,12.483747,1.049377,51,129,66.03,91.23,19.31,64,4.29,17.06
94,"Gen_94",62,135,159,25.5,28.9,52.852281,41.464628,1.51,6.676374,1.101136,59,121,72.66,82.61,19.4,72,4.62,21.28
95,"Gen_95",61,110,162,27.8,21.2,66.52292,57.589402,1.43,11.8102,1.60277,46,141,97.17,90.34,20.58,61,4.61,15.41
96,"Gen_96",60,146,161,29.3,20.9,44.863469,89.678007,3.72,10.615799,1.125756,37,133,59.96,52.5,21.83,74,4.88,20.38
97,"Gen_97",70,150,166,31.0,28.2,93.281222,64.429847,4.8,9.012982,1.511256,58,126,50.04,92.09,20.51,63,3.66,18.15
98,"Gen_98",63,131,116,44.7,26.2,61.407215,86.017939,4.12,9.854023,1.888183,50,139,94.74,95.22,16.76,75,5.74,15.25
99,"Gen_99",64,108,124,34.3,24.1,83.265854,84.655322,4.54,14.838033,1.1049,60,130,70.77,55.48,17.44,74,4.32,19.09
100,"Gen_100",64,100,164,31.2,22.5,91.214517,70.451679,1.16,11.986947,1.100569,55,150,57.03,58.47,15.43,74,5.78,20.52
101,"Gen_101",60,146,146,28.7,22.8,45.642648,76.041135,3.8,9.081434,1.481719,41,140,84.22,88.24,15.13,73,4.71,20.61
102,"Gen_102",70,143,107,22.5,20.1,74.804542,44.246229,1.21,12.576784,1.326917,50,139,86.14,73.53,18.59,75,5.14,17.21
103,"Gen_103",70,132,116,28.5,25.0,65.222042,97.479691,2.82,10.764145,1.900239,55,140,90.59,92.69,20.99,72,3.74,19.49
104,"Gen_104",69,139,169,39.2,29.2,75.958617,93.013093,3.05,6.674486,1.270085,50,121,64.13,58.03,16.31,69,5.17,16.56
105,"Gen_105",67,132,129,46.0,28.1,54.144699,63.910513,4.44,10.088037,1.469916,41,145,76.92,99.13,21.11,76,3.81,16.94
106,"Gen_106",64,141,112,42.8,27.7,76.842388,45.676171,2.82,10.116362,1.164113,56,142,85.26,92.17,16.71,76,3.83,16.03
107,"Gen_107",70,106,132,44.9,24.0,89.203679,87.111722,2.04,6.324776,1.835657,31,124,64.59,84.31,16.88,68,4.95,18.34
108,"Gen_108",65,115,166,40.7,26.2,65.920765,79.233407,3.43,5.110756,1.79957,49,124,66.55,84.78,21.61,70,4.45,21.9
109,"Gen_109",64,112,103,32.9,29.9,97.237855,68.14702,3.01,7.177631,1.775729,47,149,86.81,72.9,18.53,78,3.61,17.21
110,"Gen_110",64,118,176,33.9,21.3,44.167662,58.715475,3.33,7.569716,1.799523,60,146,51.32,80.28,19.68,63,5.93,18.74
111,"Gen_111",69,111,141,20.4,26.2,81.450208,87.719791,1.22,5.502849,1.05965,50,138,96.97,64.93,17.63,67,3.17,15.62
112,"Gen_112",66,139,105,35.6,21.5,97.721853,91.535239,4.33,12.689835,1.740624,45,139,94.7,71.06,20.24,79,5.77,15.04
113,"Gen_113",66,106,167,31.9,23.8,40.552837,48.678121,1.94,6.766824,1.509092,30,146,99.07,65.65,19.67,66,4.55,15.44
114,"Gen_114",70,114,172,22.9,28.3,98.123126,97.774707,1.82,9.368715,1.415956,45,121,69.35,70.29,19.45,78,3.56,20.63
115,"Gen_115",70,124,112,30.1,25.6,51.031488,92.972953,1.61,14.817187,1.914577,45,134,82.76,88.35,20.56,79,3.13,21.13
116,"Gen_116",61,139,174,26.5,24.2,69.603478,83.635849,4.33,8.787173,1.048726,57,126,64.84,67.53,15.4,79,4.59,21.98
117,"Gen_117",70,136,118,42.5,27.1,46.341564,96.588904,4.1,6.986667,1.964337,45,123,73.83,52.75,15.88,77,5.26,17.44
118,"Gen_118",67,126,155,44.3,27.2,55.923655,95.824478,1.28,7.74004,1.226722,57,120,91.88,85.41,19.3,67,4.45,21.36
119,"Gen_119",66,104,133,36.8,24.3,78.791551,52.65765,2.14,6.479357,1.801624,32,148,54.99,73.12,16.23,61,3.44,15.46
120,"Gen_120",62,104,139,48.9,28.7,44.55872,52.577425,3.7,5.209893,1.391218,33,120,70.27,89.23,15.07,79,4.39,15.42
121,"Gen_121",64,107,104,39.1,24.9,68.126983,69.486401,1.07,5.045319,1.734836,53,146,50.53,60.52,19.03,66,3.67,19.15
122,"Gen_122",63,116,105,46.3,20.9,72.507681,50.587552,1.87,9.012259,1.838928,53,124,60.88,69.86,16.6,66,3.33,19.88
123,"Gen_123",66,133,177,35.7,26.8,64.936991,48.778039,4.54,8.29437,1.819369,42,124,73.33,51.07,17.93,74,4.32,20.78
124,"Gen_124",63,125,156,25.6,21.8,75.899517,41.59038,3.57,7.941472,1.864977,48,134,70.73,60.73,17.85,61,4.59,19.47
125,"Gen_125",61,141,156,38.2,25.6,54.634083,52.879726,3.63,6.750021,1.316662,50,138,53.92,92.42,18.14,77,3.33,20.84
126,"Gen_126",67,126,144,26.1,20.8,77.268486,73.315783,1.89,12.736258,1.640155,35,127,79.01,86.7,15.64,77,3.5,16.06
127,"Gen_127",64,143,146,41.1,22.4,43.775987,48.980987,4.86,14.48708,1.531647,33,120,53.44,51.14,15.4,68,4.56,17.76
128,"Gen_128",63,108,172,40.1,29.2,49.258096,44.865602,4.32,14.292382,1.102786,40,124,72.41,73.38,21.19,68,3.33,15.35
129,"Gen_129",67,116,104,46.0,29.0,71.891469,75.471199,2.41,14.873041,1.769654,33,149,61.3,97.19,18.16,78,3.13,15.34
130,"Gen_130",65,125,105,25.5,24.0,72.793377,80.495203,3.54,5.90309,1.459694,58,133,60.16,87.77,17.72,77,5.62,15.08
131,"Gen_131",61,136,156,24.8,25.0,51.638529,95.965122,1.77,5.29386,1.090359,57,134,73.51,63.09,19.41,78,5.97,20.71
132,"Gen_132",61,142,131,36.1,27.9,50.246109,80.744039,3.94,6.696925,1.475798,38,128,66.05,75.22,17.82,68,5.09,16.35
133,"Gen_133",69,125,177,20.6,28.6,73.424439,64.846976,4.99,7.022631,1.749966,45,122,56.82,79.89,20.14,60,3.52,18.0
134,"Gen_134",68,144,155,22.4,27.9,58.145954,41.129429,1.34,6.182068,1.641492,48,121,88.3,74.56,15.68,61,3.88,21.73
135,"Gen_135",62,108,107,35.9,29.8,86.120417,86.330078,2.46,7.470869,1.851782,36,131,54.53,89.38,21.19,69,4.13,18.0
136,"Gen_136",60,122,140,39.6,27.7,78.610492,86.298974,3.8,13.46276,1.728934,53,126,74.49,85.87,15.8,80,4.86,21.44
137,"Gen_137",70,129,104,21.2,29.9,78.99469,54.383373,1.68,6.854511,1.846175,53,125,89.1,96.98,16.71,63,4.67,18.51
138,"Gen_138",69,132,111,26.3,25.4,67.745062,91.065616,4.45,5.11102,1.138038,53,138,79.85,90.93,18.1,78,5.51,19.26
139,"Gen_139",68,120,124,35.5,21.9,80.445885,69.405847,4.84,5.318183,1.470083,38,145,71.08,75.41,20.82,64,4.75,16.48
140,"Gen_140",62,116,135,23.6,24.6,63.199875,91.565392,3.78,13.525862,1.062301,41,133,70.07,92.87,21.91,75,3.99,17.47
141,"Gen_141",65,111,117,28.3,27.5,97.690794,85.805649,3.61,7.646092,1.72616,48,139,85.2,79.6,20.17,72,5.04,18.92
142,"Gen_142",65,103,145,30.9,29.3,45.367809,90.643175,2.98,11.77087,1.465698,60,133,61.64,82.97,21.77,79,5.98,20.58
143,"Gen_143",60,115,164,47.3,24.5,44.268498,78.189824,2.64,7.284714,1.265583,40,148,98.98,95.21,16.76,76,3.33,19.0
144,"Gen_144",64,143,107,46.6,25.2,40.882287,64.38828,2.4,9.518516,1.485526,30,141,80.92,84.9,17.68,65,5.12,18.12
145,"Gen_145",66,105,115,29.1,22.2,85.073989,93.301586,2.33,6.916462,1.672061,46,132,80.77,59.05,17.93,62,3.65,16.99
146,"Gen_146",67,105,122,43.0,21.9,73.794432,42.52305,1.28,7.732493,1.56982,54,126,75.21,97.88,16.74,67,4.98,16.92
147,"Gen_147",63,106,144,27.7,22.3,90.215398,67.056339,2.83,8.307359,1.461031,40,137,77.33,97.0,19.55,69,4.91,15.44
148,"Gen_148",60,129,108,23.9,20.6,76.515366,50.43142,3.08,6.436966,1.17654,34,128,73.53,91.79,19.8,78,5.62,16.24
149,"Gen_149",64,105,122,39.3,22.5,51.118102,83.326655,1.22,14.86187,1.873037,59,139,92.74,79.72,15.4,69,5.38,20.79
150,"Gen_150",62,124,136,25.5,29.4,98.054749,81.867113,4.03,5.181337,1.666366,49,130,96.77,72.31,19.89,79,5.6,17.74
151,"Gen_151",62,115,155,35.7,28.8,76.516375,57.472057,3.4,10.0792,1.252917,36,137,97.25,60.14,18.26,63,4.53,17.66
152,"Gen_152",60,103,158,32.9,25.8,60.21941,97.647081,4.01,11.022676,1.839608,56,130,84.75,82.79,19.17,73,3.85,17.08
153,"Gen_153",65,116,173,45.7,23.2,67.191898,75.772682,1.32,9.0904,1.332277,46,131,67.0,91.61,19.75,62,3.84,16.83
154,"Gen_154",68,138,145,22.7,21.0,47.492087,54.943313,2.6,7.254019,1.859565,56,130,50.5,66.05,19.3,73,4.34,17.16
155,"Gen_155",68,137,123,39.8,20.2,93.03495,53.47324,1.18,11.096214,1.428751,59,121,95.97,90.43,18.12,64,5.51,15.48
156,"Gen_156",67,149,179,38.0,26.4,81.307236,78.183483,4.09,5.453732,1.898623,50,149,51.29,83.59,21.02,72,3.09,17.86
157,"Gen_157",67,130,110,34.8,23.1,49.176092,55.887894,4.34,9.573868,1.602441,49,131,64.58,62.36,21.17,67,5.38,17.97
158,"Gen_158",60,106,128,22.0,23.5,65.624197,89.804364,4.94,9.816471,1.519837,48,133,90.32,80.35,21.56,64,3.21,17.84
159,"Gen_159",61,138,126,37.5,26.0,93.484472,43.519545,2.94,8.229673,1.431209,31,130,90.88,51.19,16.52,64,3.56,15.46
160,"Gen_160",67,141,101,28.6,28.6,79.662803,80.120501,3.48,13.147266,1.745848,31,134,69.48,96.95,15.81,63,3.01,18.93
161,"Gen_161",60,143,111,42.8,30.0,90.124807,57.807107,3.99,10.302521,1.197506,36,141,67.42,63.97,21.9,75,6.0,15.68
162,"Gen_162",63,133,123,37.1,28.6,46.376704,64.610588,3.98,8.584983,1.532268,53,123,85.32,82.82,16.96,61,3.03,15.78
163,"Gen_163",70,149,103,30.3,26.6,97.588192,53.570775,2.88,13.637306,1.796381,33,127,84.44,72.28,17.21,69,5.6,16.39
164,"Gen_164",68,125,155,21.2,28.1,42.853275,79.05225,4.83,12.661568,1.644163,54,143,86.66,57.23,17.35,66,4.25,17.68
165,"Gen_165",68,104,170,46.3,29.4,89.524603,42.519279,2.95,8.839515,1.813959,40,125,93.86,98.13,17.88,71,3.12,21.92
166,"Gen_166",63,124,155,38.5,27.6,53.594477,84.633402,1.73,10.488702,1.487639,49,137,69.36,68.02,21.05,65,5.76,17.28
167,"Gen_167",69,142,153,48.5,24.3,67.895771,50.468901,3.83,14.193162,1.654641,56,131,87.15,88.68,20.62,66,4.7,20.95
168,"Gen_168",67,147,140,40.9,20.1,79.126083,48.667344,4.31,8.626688,1.421687,55,140,53.53,55.67,17.35,73,4.72,20.89
169,"Gen_169",70,126,117,27.2,26.2,41.493634,56.13704,3.51,6.533698,1.51178,55,138,68.5,81.21,18.36,67,4.44,15.63
170,"Gen_170",68,111,174,41.6,20.0,40.731804,58.466625,3.06,5.178841,1.305938,46,123,57.9,54.45,19.18,66,5.02,16.11
171,"Gen_171",68,103,102,46.8,26.1,86.05478,52.168055,4.74,11.6557,1.822547,57,147,94.13,67.29,18.43,75,3.86,17.77
172,"Gen_172",66,144,139,33.3,21.1,64.511005,67.572003,3.26,13.229283,1.794009,57,150,73.96,52.46,19.39,75,4.39,21.14
173,"Gen_173",68,108,120,48.7,22.1,57.132739,57.046469,4.37,13.935894,1.62613,42,129,84.54,55.09,19.59,75,4.75,15.46
174,"Gen_174",68,117,107,46.2,22.4,43.003281,86.841838,4.66,12.704225,1.411586,30,130,78.61,69.84,16.7,73,5.54,19.33
175,"Gen_175",64,114,134,47.8,25.0,41.876482,45.207807,2.11,14.63621,1.246156,37,144,50.44,90.84,16.24,61,3.43,15.04
176,"Gen_176",66,107,127,26.3,23.1,44.109456,78.405928,4.81,10.925836,1.254236,58,132,50.65,93.01,19.43,80,5.07,15.81
177,"Gen_177",69,127,136,34.7,20.6,95.196423,77.932677,3.17,13.828416,1.834948,58,133,57.08,88.69,19.69,67,4.26,15.46
178,"Gen_178",64,115,164,22.1,25.4,74.609937,52.351017,3.66,8.031656,1.0789,48,127,78.59,87.61,19.34,64,3.07,16.05
179,"Gen_179",65,132,140,36.7,29.4,50.58438,41.731218,1.04,5.659175,1.18018,41,149,64.03,60.82,15.1,65,3.57,16.15
180,"Gen_180",62,108,175,37.1,22.5,73.686332,68.100474,3.29,9.100101,1.33577,39,130,76.58,79.56,20.7,72,4.3,16.02
181,"Gen_181",66,150,152,37.3,21.5,54.539472,56.079423,2.7,12.290172,1.093755,46,149,76.47,66.76,21.43,78,4.62,15.01
182,"Gen_182",61,124,162,32.8,21.2,68.142518,79.533309,3.54,7.101636,1.029173,35,132,92.67,71.42,18.51,76,4.33,17.42
183,"Gen_183",65,121,146,36.2,27.1,95.987496,92.640561,2.47,14.242084,1.285838,42,137,97.18,97.85,21.38,72,5.05,20.57
184,"Gen_184",70,106,115,40.0,25.9,95.404476,68.338274,3.96,13.998593,1.526556,54,129,78.72,53.11,18.72,62,3.12,15.73
185,"Gen_185",66,123,153,48.5,25.1,57.885155,63.029811,2.15,10.629044,1.704194,45,149,77.95,85.25,16.97,69,4.6,16.65
186,"Gen_186",69,114,116,37.3,28.5,77.273261,67.14179,3.05,10.907003,1.728935,38,144,79.39,61.44,19.52,78,3.99,20.75
187,"Gen_187",70,143,147,21.9,23.7,79.156144,55.198377,1.63,13.315737,1.226822,33,137,68.25,79.19,18.19,63,4.51,21.38
188,"Gen_188",63,102,155,45.3,25.8,84.84627,61.312969,4.45,11.563951,1.868455,52,138,58.06,67.89,20.54,67,3.49,18.21
189,"Gen_189",67,150,180,25.7,24.5,73.026503,67.327495,3.78,9.150148,1.691798,39,148,97.73,51.49,20.63,72,5.53,20.24
